# 250625_14:12:31.075918
t	CH1	CH2
0.000000e+00	-1.566416e-03	-5.812653e+00
1.000000e-08	-8.137354e-04	-5.832606e+00
2.000000e-08	-3.690405e-03	-5.884241e+00
3.000000e-08	-3.119418e-03	-5.904740e+00
4.000000e-08	-3.108925e-03	-5.937867e+00
5.000000e-08	-2.906526e-03	-5.918869e+00
6.000000e-08	-1.045737e-03	-5.958946e+00
7.000000e-08	-2.678384e-03	-5.989451e+00
8.000000e-08	-1.991805e-03	-5.990074e+00
9.000000e-08	-9.537749e-04	-5.990026e+00
1.000000e-07	-1.961694e-03	-6.010500e+00
1.100000e-07	-2.835396e-03	-6.011056e+00
1.200000e-07	-5.361757e-03	-6.031129e+00
1.300000e-07	-3.161964e-03	-6.042629e+00
1.400000e-07	-1.099000e-03	-6.092731e+00
1.500000e-07	-1.521692e-03	-6.042657e+00
1.600000e-07	-1.842396e-03	-6.084286e+00
1.700000e-07	-2.698699e-03	-6.074192e+00
1.800000e-07	-1.097958e-03	-6.126841e+00
1.900000e-07	-2.001767e-03	-6.106763e+00
2.000000e-07	-2.544524e-03	-6.084812e+00
2.100000e-07	-3.775714e-03	-6.094361e+00
2.200000e-07	-4.023678e-03	-6.094439e+00
2.300000e-07	-1.428274e-03	-6.116285e+00
2.400000e-07	-1.817683e-03	-6.116763e+00
2.500000e-07	-2.547347e-03	-6.115416e+00
2.600000e-07	-2.747861e-03	-6.113810e+00
2.700000e-07	-1.396586e-03	-6.068237e+00
2.800000e-07	4.645509e-04	-6.044685e+00
2.900000e-07	-1.839870e-03	-6.074383e+00
3.000000e-07	-3.133799e-03	-6.064731e+00
3.100000e-07	-2.844015e-03	-6.045681e+00
3.200000e-07	-2.930382e-03	-6.064707e+00
3.300000e-07	-3.046832e-03	-6.063632e+00
3.400000e-07	-4.100004e-03	-6.071703e+00
3.500000e-07	-2.443885e-03	-6.010679e+00
3.600000e-07	-1.143479e-03	-6.009578e+00
3.700000e-07	-1.028939e-05	-6.031054e+00
