# Configuracion:
# Concentracion g/m^3_=_8200.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_239453.7472910618
# 
Resultados:
# tau_ns_=_(1.65+/-0.12)e+01
# dphi_rad_=_6.31+/-0.00
# SAR_W/g_=_96.82+/-7.30
# Hc_kA/m_=_3.76+/-0.06
# Mr_A/m_=_105.46+/-0.98
# Magnetizacion_max_emu/g_=_62.5+/-0.9
# Suceptibilidad_a_M=0_=_(3.022+/-0.026)e-02

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
238kHz_150dA_100Mss_bobN1NE0007.txt		20.00	105.53	3.84	57041.50	497.43	2.394428e+05	1.711875e+01	6.308675e+00	96.90	16.945934	4594	2.974e-02
238kHz_150dA_100Mss_bobN1NE0008.txt		20.00	106.70	3.87	57041.50	502.31	2.394428e+05	1.725798e+01	6.310000e+00	102.77	17.827229	4594	2.963e-02
238kHz_150dA_100Mss_bobN1NE0009.txt		20.00	105.51	3.83	57041.50	503.07	2.394428e+05	1.730632e+01	6.307687e+00	94.17	16.289364	4594	2.982e-02
238kHz_150dA_100Mss_bobN1NE0010.txt		20.00	106.37	3.82	57041.50	510.73	2.394428e+05	1.752956e+01	6.307661e+00	95.28	16.271811	4594	2.997e-02
238kHz_150dA_100Mss_bobN1NE0011.txt		20.00	106.23	3.84	57041.50	503.03	2.394428e+05	1.729131e+01	6.308252e+00	96.26	16.664899	4594	2.996e-02
238kHz_150dA_100Mss_bobN1NE0012.txt		20.00	106.39	3.80	57041.50	506.75	2.394428e+05	1.740961e+01	6.307732e+00	94.90	16.319115	4594	3.020e-02
238kHz_150dA_100Mss_bobN1NE0013.txt		20.00	104.81	3.78	57041.50	503.07	2.394428e+05	1.728218e+01	6.305837e+00	86.94	15.058612	4594	2.984e-02
238kHz_150dA_100Mss_bobN1NE0014.txt		20.00	107.07	3.87	57041.50	500.67	2.394428e+05	1.723893e+01	6.310782e+00	105.65	18.347601	4594	2.975e-02
238kHz_150dA_100Mss_bobN1NE0015.txt		20.00	106.37	3.81	57041.50	503.02	2.394428e+05	1.730777e+01	6.308946e+00	99.01	17.126364	4594	3.005e-02
238kHz_150dA_100Mss_bobN1NE0016.txt		20.00	105.33	3.77	57041.50	510.14	2.394428e+05	1.749376e+01	6.306500e+00	90.58	15.499765	4594	3.024e-02
238kHz_150dA_100Mss_bobN1NE0017.txt		20.00	106.06	3.80	57041.50	508.63	2.394428e+05	1.745877e+01	6.308179e+00	96.90	16.616189	4594	3.006e-02
238kHz_150dA_100Mss_bobN1NE0018.txt		20.00	105.48	3.79	57041.50	507.05	2.394428e+05	1.741634e+01	6.307496e+00	94.03	16.161721	4594	3.005e-02
238kHz_150dA_100Mss_bobN1NE0019.txt		20.00	105.02	3.75	57041.50	509.99	2.394428e+05	1.749870e+01	6.306924e+00	92.25	15.781479	4594	3.012e-02
238kHz_150dA_100Mss_bobN1NE0020.txt		20.00	106.10	3.78	57041.50	511.24	2.394428e+05	1.754914e+01	6.308552e+00	98.86	16.864054	4594	3.018e-02
238kHz_150dA_100Mss_bobN1NE0021.txt		20.00	104.87	3.76	57041.50	509.22	2.394428e+05	1.747088e+01	6.307139e+00	92.94	15.924395	4594	3.009e-02
238kHz_150dA_100Mss_bobN1NE0022.txt		20.00	106.71	3.79	57041.50	515.12	2.394428e+05	1.768204e+01	6.309480e+00	103.25	17.481596	4594	3.020e-02
238kHz_150dA_100Mss_bobN1NE0023.txt		20.00	104.63	3.70	57041.50	516.42	2.394428e+05	1.769981e+01	6.305435e+00	87.46	14.791567	4594	3.045e-02
238kHz_150dA_100Mss_bobN1NE0024.txt		20.00	105.03	3.73	57041.50	515.03	2.394428e+05	1.765794e+01	6.307326e+00	94.67	16.048888	4594	3.030e-02
238kHz_150dA_100Mss_bobN1NE0025.txt		20.00	105.41	3.76	57041.50	510.70	2.394428e+05	1.754073e+01	6.307991e+00	96.63	16.490918	4594	3.031e-02
238kHz_150dA_100Mss_bobN1NE0026.txt		20.00	104.41	3.71	57041.50	514.04	2.394428e+05	1.761891e+01	6.306078e+00	89.57	15.218838	4594	3.034e-02
